test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
score,0.007293322439187352,0.9319426371030093,1,0.09300000237999484,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,16,6064463372350678533,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.0073031923615047845,0.9318967141887345,1,0.05269999383017421,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,16,6064463372350678533,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.007611924106814742,0.930475704567182,1,0.15150000399444252,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,16,6064463372350678533,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.9408106701937947,0.33206944520290255,1,0.1390999968862161,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,17,618620882724742596,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.9728854069178375,0.3239616195046086,1,0.09940000018104911,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,17,618620882724742596,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,1.0046276588828889,0.31619333484032114,1,0.05810000584460795,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,17,618620882724742596,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,1.53629587508095,0.21516999991538127,1,0.1453000004403293,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,17,618620882724742596,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,1.3825556968716395,0.23966629848098017,1,0.1368000012007542,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,18,3213106130386463495,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,1.4609715886090893,0.22677559410806725,1,0.09420000424142927,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,18,3213106130386463495,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,1.4830194061050328,0.22330270511927355,1,0.06209999992279336,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,18,3213106130386463495,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
